رقم الفاتورة,المورد,المبلغ
INV-1001,شركة النخيل للتوريدات,4800
INV-1002,مؤسسة الأفق للتقنية,2450
INV-1003,مصنع البحر للمعادن,7300
INV-1004,دار الصرح للطباعة,1150
INV-1005,شركة المدى للخدمات,3600
INV-1006,شركة النخيل للتوريدات,5100
INV-1007,مؤسسة الأفق للتقنية,2280
INV-1008,مصنع البحر للمعادن,6900
INV-1009,دار الصرح للطباعة,980
INV-1010,شركة المدى للخدمات,4150
INV-1011,شركة النخيل للتوريدات,4600
INV-1012,مؤسسة الأفق للتقنية,2600
INV-1013,مصنع البحر للمعادن,7050
INV-1014,دار الصرح للطباعة,1240
INV-1015,شركة المدى للخدمات,3800
INV-1016,شركة النخيل للتوريدات,5350
INV-1017,مؤسسة الأفق للتقنية,2390
INV-1018,مصنع البحر للمعادن,6700
INV-1019,دار الصرح للطباعة,1050
INV-1020,شركة المدى للخدمات,3500
INV-1021,مؤسسة الأفق للتقنية,97500
INV-1022,دار الصرح للطباعة,13.5
INV-1023,شركة النخيل للتوريدات,88888
INV-1024,مصنع البحر للمعادن,7100
